feature,importance
points_diff,0.06338384297156205
goal_diff_diff,0.056067786815783546
position_diff,0.04384324983952495
season_goals_diff,0.039110618344455186
season_defense_diff,0.03654322019053683
away_season_draw_pct,0.024862735586436938
home_position,0.024402493820867406
home_season_draw_pct,0.02316028947690686
away_season_win_pct,0.02225810841450536
home_season_win_pct,0.022056353325444884
home_season_goals_avg,0.02053580570491634
away_position,0.019497682868195646
home_scoring_std,0.019014831932762977
away_scoring_std,0.01679802049694103
home_avg_total_goals,0.016672050888245086
home_recent_opponent_strength,0.01647402902853507
away_overall_form_points,0.016457465150331585
away_recent_opponent_strength,0.016341964278691043
away_season_conceded_avg,0.016278419151744657
form_points_diff,0.01626321679540857
away_season_goals_avg,0.01616990787987372
home_season_conceded_avg,0.016050504226862945
home_overall_form_points,0.015821487366609866
away_clean_sheet_pct,0.01560650571914387
week_of_season,0.01559769755519002
away_avg_total_goals,0.014759288683669405
home_failed_to_score_pct,0.014753896868145497
away_goals_scored_avg,0.014345338449753896
home_goals_scored_avg,0.013880497130063363
combined_btts_likelihood,0.013867011831254423
momentum_diff,0.013428447829979331
away_failed_to_score_pct,0.013038179692538699
away_goals_conceded_avg,0.013020565443358117
goals_scored_diff,0.012909878232022963
home_goals_conceded_avg,0.01230930854585054
goals_conceded_diff,0.012276234489008634
home_clean_sheet_pct,0.012223248081790587
away_form_points,0.01215292028459229
days_since_last_match_home,0.012026588594871667
days_since_last_match_away,0.01175689007452168
home_form_points,0.011708348032590927
away_over25_rate,0.011640766359267227
away_btts_rate,0.01157219767581001
away_momentum,0.010865811048268054
combined_over25_likelihood,0.010620622867171393
home_btts_rate,0.010463667654396342
home_momentum,0.009940403008545422
home_over25_rate,0.00985765724111492
home_win_rate,0.009056172201470097
month,0.009011125851985963
away_failed_to_score_rate,0.0080892492709975
away_clean_sheet_rate,0.007823750091139375
away_win_rate,0.007574955496555592
day_of_week,0.007468410818854046
rest_days_diff,0.007270236957371463
home_scoring_range,0.0070015712707234765
home_failed_to_score_rate,0.006889714489372983
away_scoring_range,0.006516276623830567
h2h_away_goals_avg,0.006362627723922201
home_clean_sheet_rate,0.006357745794238674
h2h_home_goals_avg,0.004176931366384208
h2h_away_wins,0.0026054066679068915
h2h_total_matches,0.0021486170066285647
is_weekend,0.0019107044463368206
h2h_home_wins,0.00184592435437901
is_midweek,0.0014687548636075243
h2h_draws,0.001168394551797833
is_december,0.0011369801372656196
away_penalty_conversion,0.00043808697786294727
home_penalty_conversion,0.00043144532261912003
is_holiday_period,0.00041577620114035754
is_derby,0.0001450855655473683
injury_impact_diff,0.0
home_missing_players,0.0
away_questionable_players,0.0
home_questionable_players,0.0
away_missing_players,0.0
